school_year,n_districts,mean_ela_distance,median_ela_distance,mean_math_distance,median_math_distance,mean_graduation_rate,median_graduation_rate,mean_dropout_rate,median_dropout_rate
2019_20,936,NA,NA,NA,NA,84.47343412526997,90.2,9.685313174946003,5.3
2020_21,936,NA,NA,NA,NA,86.1551724137931,89.7,7.683189655172414,5
2021_22,938,-16.058053691275163,-21.95,-51.241051454138706,-57.3,88.6290948275862,92.4,6.852801724137931,4.3
2022_23,938,-16.681767337807603,-20.95,-49.03784994400896,-54.1,87.91627408993575,91.2,7.418201284796574,5.1
2023_24,938,-16.37052280311457,-19.8,-47.141268075639594,-53.7,88.82612419700214,92.3,7.229764453961456,4.9
2024_25,937,-11.627494456762747,-15.3,-44.30365853658537,-49.45,89.7244635193133,93.3,6.455364806866953,3.9
