term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),81.11899071073955,1.461549420329393,55.502051167354686,0,78.25314053720491,83.98484088427419
supp_conc_per_ada,-9.588023239346738e-4,5.431771272102258e-4,-1.7651743343080584,0.0776458453189051,-0.0020238804134081346,1.0627576553878684e-4
upc_percentage,-0.0788190226967556,0.02966619523405598,-2.6568632099566822,0.007932905021987227,-0.1369893928375552,-0.020648652555955993
spending_per_ada,-5.142998899895573e-5,1.948488634497637e-5,-2.6394810874642594,0.008350363015830451,-8.963654167267122e-5,-1.3223436325240233e-5
factor(district_type)High,11.935110418789217,0.9682711428981953,12.3262068753443,5.1273187558527545e-34,10.036495165479487,13.833725672098947
factor(district_type)Unified,11.824879126392531,0.779274890913995,15.174207797871404,5.333197433528252e-50,10.296853422784274,13.352904830000789
factor(school_year)2020_21,1.759250466345155,0.8607085493252243,2.043956072847617,0.04105330856961954,0.07154718985209829,3.4469537428382115
factor(school_year)2021_22,4.780386119864425,0.8750041828395898,5.463272306140266,5.0943743477485195e-8,3.064651534119644,6.496120705609206
factor(school_year)2022_23,4.504548805949895,0.903176253251207,4.987452659140067,6.500057183602286e-7,2.7335735750685526,6.2755240368312375
factor(school_year)2023_24,5.903841796128587,0.9408799114403615,6.274809063667427,4.0556395518166006e-10,4.058936095390175,7.748747496866999
factor(school_year)2024_25,7.013982757324031,0.9601066197666431,7.305420682370466,3.6067225545012034e-13,5.131376747155812,8.89658876749225
