term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),60.42111036487779,2.568142371094015,23.527165411448244,7.098407301348679e-114,55.385929501005556,65.45629122875002
supp_conc_per_ada,0.0077300279796664,0.001076485855763724,7.180798464074803,8.400301818503939e-13,0.005619435887039694,0.009840620072293105
upc_percentage,-1.930174857165089,0.06154216101855631,-31.363455966115637,7.68256555831906e-191,-2.0508363574657804,-1.8095133568643977
spending_per_ada,-1.31551390466746e-4,6.245622008978932e-5,-2.106297663829527,0.03524842387326607,-2.540050237876797e-4,-9.09775714581234e-6
factor(district_type)High,-46.399234214665384,2.014890787467526,-23.02816336412139,1.7240302563318906e-109,-50.349692588796366,-42.4487758405344
factor(district_type)Unified,-10.833652707616412,1.1167421555192334,-9.701122729247437,5.5715234487454485e-22,-13.0231725701599,-8.644132845072924
factor(school_year)2022_23,2.4489658006450785,1.5100695168657157,1.6217569941601935,0.10494406729591683,-0.5117240816685724,5.4096556829587295
factor(school_year)2023_24,4.902353668847034,1.546596212105903,3.169769607913243,0.0015385585677840886,1.8700483967621633,7.9346589409319055
factor(school_year)2024_25,7.4277313685354684,1.5718877290283495,4.725357435754566,2.386067985136699e-6,4.345838751348715,10.509623985722222
