term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-1242.9733071070066,21.950449878400498,-56.62632492694863,0,-1286.0046790441063,-1199.9419351699069
upc_percentage,43.454504730076316,0.35216245275014135,123.39334983251952,0,42.76413011039782,44.14487934975481
english_learner_percentage,10.785653446512644,0.5247658141344606,20.553269965388864,1.4494904629123004e-90,9.756909477573984,11.814397415451303
foster_percentage,30.89867696788243,7.395218136368487,4.17819682910065,2.9829110253645913e-5,16.4011890373414,45.396164898423464
homeless_percentage_lcff_upc,-0.10876102570616421,1.0866554403243662,-0.10008786747867299,0.9202781424098139,-2.2390259942653383,2.02150394285301
factor(school_year)2020_21,18.131102675484453,21.79435816663996,0.8319172575238873,0.4054910468796581,-24.594269132129174,60.85647448309808
factor(school_year)2021_22,240.02940400100914,21.776785922479352,11.022260348954244,5.768069530192314e-28,197.33848058868733,282.72032741333095
factor(school_year)2022_23,444.1156121838537,21.782537375519436,20.388607834226804,3.362365799273363e-89,401.41341369897907,486.8178106687284
factor(school_year)2023_24,622.257503441238,21.792695186347913,28.553489970852834,1.481958012878589e-167,579.535391718218,664.979615164258
factor(school_year)2024_25,709.2917270954052,21.85462881672663,32.45498850808862,6.439521617105808e-212,666.4482015016442,752.1352526891662
