upc_bin,n_district_years,n_districts,total_ada,mean_upc_pct,median_upc_pct,weighted_upc_pct,mean_lcff_per_ada,median_lcff_per_ada,weighted_lcff_per_ada,mean_supp_conc_per_ada,median_supp_conc_per_ada,weighted_supp_conc_per_ada,mean_spending_per_ada,median_spending_per_ada,weighted_spending_per_ada,mean_ela_distance,median_ela_distance,mean_math_distance,median_math_distance,mean_graduation_rate,median_graduation_rate,mean_dropout_rate,median_dropout_rate
0-25%,592,127,2142882.7899999986,15.459050023325437,16.23734688250817,16.30985954489551,10356.580439543055,10214.91365793788,10235.984978441127,303.4641589590325,302.1973171987986,316.7507145829476,18447.761648377942,16265.12044434957,16069.306754516678,55.47412398921833,59.1,38.01401617250674,42.7,93.3527027027027,96.1,4.627027027027027,1.8
25-40%,672,200,3562015.03,32.91054571173571,33.333333333333336,32.68459308036718,11053.802985045015,10672.357873093148,10492.792622214174,655.0597361547129,637.5500004239309,630.0598215050205,16970.66686747243,14911.3664428706,14730.567300672836,16.05873786407767,20.200000000000003,-12.751941747572815,-9.4,91.48987341772153,93.55,5.1870253164556965,3.2
40-55%,953,288,4024104.8999999994,47.19843439748676,47.04793633166759,47.61112598031136,11465.778209719636,11080.72396475073,10847.644634711189,939.4535714796123,895.7922583740311,913.9319372613771,17414.528104545294,15254.19069334118,15396.430492783104,-4.336754966887421,-4.3,-35.39071310116086,-34.6,89.35879629629629,92.4,6.599537037037035,4.2
55-70%,1061,336,6242463.989999992,62.53211459989588,62.5,62.80376690711721,12456.903828828108,12051.379389006166,11803.676412557103,1625.7752738070108,1584.1287134491547,1652.5496763017793,19674.160890408602,16745.888780900063,16607.792875548217,-21.692307692307697,-22.9,-57.2664201183432,-57.150000000000006,87.36437908496733,90.6,7.83578431372549,5.6
70%+,2344,473,14761774.27999996,84.21458955658792,84.09886475231615,83.43496965846265,13973.779484923632,13523.051734763487,13445.088412976365,3246.9209893326633,3149.485542988708,3259.18292960107,20628.168920723336,18657.15293453436,18886.097758828913,-42.194102228047186,-43.2,-79.12116644823067,-80.8,85.07551695616212,90,8.904052936311,6.1
NA,1,1,15.73,NA,NA,NA,52008.96376350922,52008.96376350922,52008.96376350922,2259.376986649714,2259.376986649714,2259.376986649714,53485.52256834075,53485.52256834075,53485.52256834075,NA,NA,NA,NA,NA,NA,NA,NA
