school_year,county_name,district_name,district_type,total_funded_ada,upc_percentage,lcff_per_ada,supp_conc_per_ada,spending_per_ada,ela_current_distance_from_standard,math_current_distance_from_standard,graduation_rate,dropout_rate,priority_reason
2024_25,Kern,Vineland Elementary,Elementary,628.37,100,16102.4109998886,5203.9228480035645,24806.790368982704,-51.5,-96.2,NA,NA,Low ELA and low math
2024_25,Kern,Richland Union Elementary,Elementary,2397.93,92.24066390041494,15293.255015784447,4400.3436297139615,23152.952512472875,-51,-78.1,NA,NA,Low ELA
2024_25,San Bernardino,Victor Elementary,Elementary,11365.77,87.23870532703978,14940.146158157344,4040.4307847158616,20230.117605031188,-50.6,-77.4,NA,NA,Low ELA
2024_25,Kern,Edison Elementary,Elementary,1069.75,89.60216998191682,15397.928487964478,4553.719093246085,21505.32463448222,-50.5,-79.7,NA,NA,Low ELA and low math
2024_25,Kern,Arvin Union,Elementary,2765.98,95.28946422150304,15665.22859890527,4867.18667524711,21461.17480820831,-50.2,-76.4,NA,NA,Low ELA
2024_25,Monterey,King City Union,Elementary,2420.45,91.22944400939704,15393.57392220455,4514.0432564192615,20488.382377191552,-49.9,-83.3,NA,NA,Low ELA and low math
2024_25,Riverside,Hemet Unified,Unified,20037.89,87.79881603325953,15712.124130834136,4330.40115501183,20822.396494587672,-49.5,-98.5,92.2,3.5,Low ELA and low math
2024_25,Orange,Anaheim Elementary,Elementary,13420.740000000002,88.48889214751814,15326.809624506546,4294.363574586796,24160.816482581507,-49.3,-69.2,NA,NA,Low ELA
2024_25,Alameda,Hayward Unified,Unified,16320.94,83.09834839155205,15109.219076842388,3749.664663922544,23754.405340128793,-49,-88.8,82.4,11.3,Low ELA and low math
2024_25,Los Angeles,Mountain View Elementary,Elementary,4655.59,92.89715438046156,15438.900977104942,4543.080039264626,26776.612504491903,-49,-87.3,NA,NA,Low ELA and low math
2024_25,Monterey,Soledad Unified,Unified,4478.95,88.61720067453625,15788.386787081794,4368.164413534422,20411.97532630889,-48.4,-89.2,95,3.6,Low ELA and low math
2024_25,Monterey,Gonzales Unified,Unified,1981.39,87.00305810397553,15915.852507583062,4381.507931300754,24783.30046966602,-47.5,-94.8,94.3,2.4,Low ELA and low math
2024_25,Imperial,Seeley Union Elementary,Elementary,329.31,94.76923076923076,15759.384774224894,4759.776502383772,26691.336024452645,-47.2,-68.1,NA,NA,Low ELA
2024_25,San Diego,Borrego Springs Unified,Unified,339.09,90.40697674418604,17506.305110737565,4528.452623197381,29167.48981282602,-46.7,-85.4,25.1,23.5,Low ELA and low math
2024_25,Stanislaus,Modesto City Elementary,Elementary,13671.67,85.41594633842749,14963.972360362706,4043.570463593694,NA,-46.5,-75,94.8,5.2,Low ELA
2024_25,Contra Costa,Pittsburg Unified,Unified,9900.240000000002,83.62085130320645,15280.011191647876,3873.786292049485,21816.249319326576,-46.4,-98.1,86.1,7.8,Low ELA and low math
2024_25,Kern,Fairfax Elementary,Elementary,2625.3900000000003,97.93698424606151,15779.150145311742,4937.256179081965,19234.96831555373,-46.3,-77.4,NA,NA,Low ELA
2024_25,San Bernardino,Colton Joint Unified,Unified,18047.28,86.9935918323015,15663.1398748177,4285.4021215385355,23071.967415868217,-46,-84.6,92.1,5.5,Low ELA and low math
2024_25,Ventura,Oxnard,Elementary,13189.02,91.23279243251557,15298.195620296276,4439.877109898992,25508.33450828804,-46,-79.8,NA,NA,Low ELA and low math
2024_25,Colusa,Williams Unified,Unified,1222.5,93.24635456638526,16445.95746421268,5054.456441717792,16776.740141582966,-45.5,-100.2,96.8,1.1,Low ELA and low math
2024_25,Orange,Santa Ana Unified,Unified,37359.759999999995,92.37518571468618,15772.291684957294,4361.534683306318,27940.82282919973,-45.5,-78.2,91.7,6.6,Low ELA
2024_25,Santa Clara,Luther Burbank,Elementary,404.96,89.15094339622641,15152.926214934809,4262.741999209798,22465.67654610265,-45.5,-47.9,NA,NA,Low ELA
2024_25,Madera,Madera Unified,Unified,19039.38,91.72310007524456,16165.098390808944,4708.175318734118,21574.520150369644,-45,-87.4,93.4,4.2,Low ELA and low math
2024_25,Riverside,San Jacinto Unified,Unified,9532.42,91.97470817120625,15810.975806773096,4514.290180248037,23332.602576022375,-44.9,-93.3,93.9,2.4,Low ELA and low math
2024_25,Los Angeles,Lynwood Unified,Unified,10807.16,95.00738279808049,16725.27417008724,5123.637569907358,24970.05977095327,-44.7,-85.2,89,10.2,Low ELA and low math
2024_25,Merced,Los Banos Unified,Unified,10452.790000000005,84.9714648065948,15128.455177995536,3776.8457033959344,19916.02816262971,-44.2,-82.4,96.1,1.6,Low ELA and low math
2024_25,Los Angeles,Azusa Unified,Unified,6254.67,89.2514077509109,16002.53538555991,4506.706349016015,24689.8534670299,-44,-80.1,87.9,10.2,Low ELA and low math
2024_25,Fresno,Washington Unified,Unified,2332.7,88.93162393162393,16455.396321858792,4538.9312813477945,25741.79641959859,-43.9,-93,89.3,9.6,Low ELA and low math
2024_25,Tulare,Kings River Union Elementary,Elementary,387.09,88.68894601542416,15570.44356609574,4354.204448577851,23319.38936136072,-43.8,-69.8,NA,NA,Low ELA
2024_25,Riverside,Palm Springs Unified,Unified,18219.68,95.84028356964136,16663.9722541779,5205.644994862698,24457.09621625608,-43.6,-87.9,91.5,4.3,Low ELA and low math
2024_25,Tulare,Woodville Union Elementary,Elementary,378.45,97.0108695652174,16091.668648434405,5020.425419474171,23549.079554049134,-43.6,-57.9,NA,NA,Low ELA
2024_25,San Diego,National Elementary,Elementary,3933.96,90.37055709604236,15126.287252539423,4243.610509512044,28063.76816725724,-43.4,-54.5,NA,NA,Low ELA
2024_25,Kings,Corcoran Joint Unified,Unified,3043.05,91.81360201511336,15961.282923382789,4601.462020012816,19767.40655262277,-43,-83.7,92.7,6.4,Low ELA and low math
2024_25,Sacramento,Twin Rivers Unified,Unified,20743.460000000003,91.34385249534616,16408.335880320832,4662.372477879774,22643.081867959256,-42.3,-79,26,72.4,Low ELA
2024_25,Kern,Wasco Union Elementary,Elementary,3348.4100000000003,91.796200345423145,15435.280924379033,4591.886895571331,19948.370753154803,-42.2,-82.1,NA,NA,Low ELA and low math
2024_25,Riverside,Moreno Valley Unified,Unified,29072,88.20048504446241,15360.631294716566,3950.632120253165,21463.358875820584,-41.3,-89.1,93.3,4,Low ELA and low math
2024_25,Stanislaus,Waterford Unified,Unified,1702.43,89.56521739130434,16049.344172741316,4433.209588646817,24352.739469965545,-41,-67.5,92.9,3.3,Low ELA
2024_25,Sonoma,Roseland,Elementary,1513.79,94.83301827347196,15795.85147213286,4721.528745730914,36594.66367789985,-41,-50,89.9,8.3,Low ELA
2024_25,Tehama,Corning Union High,High,1022.24,84.57943925233644,16894.656832055094,4346.671036155893,19880.145212066876,-40.2,-135.8,94.1,4.1,Low math
2024_25,Los Angeles,Pomona Unified,Unified,18818.3,89.32649608796785,15964.254528836293,4593.947434146549,24466.881890669654,-38,-81.4,91.1,4.9,Low math
2024_25,Ventura,Santa Paula Unified,Unified,4522.91,87.67213114754098,15693.992805516802,4056.174454057233,24570.600490063644,-37.5,-82.2,96.9,1.4,Low math
2024_25,Fresno,Firebaugh-Las Deltas Unified,Unified,2090.94,87.8584229390681,16176.909428295408,4682.322304800711,22441.590537223237,-37.2,-83.3,95.8,0,Low math
2024_25,Monterey,San Lucas Union Elementary,Elementary,74.98,97.22222222222224,17326.847159242465,4921.232328620966,34838.85724973814,-37.1,-86.4,NA,NA,Low math
2024_25,Tulare,Strathmore Union Elementary,Elementary,663.88,90.88319088319088,15707.177501958186,4678.639211905766,24098.640829100143,-36.1,-81,NA,NA,Low math
2024_25,Riverside,Val Verde Unified,Unified,18075.18,88.60003144818911,15840.036337120848,4450.309429836937,21528.05900007278,-25.8,-79.9,95.1,3.6,Low math
2024_25,Orange,Anaheim Union High,High,26107.73,82.87136294027565,15846.453674831171,3912.5673507424817,19600.708241327608,-25.7,-84.1,94.3,3.4,Low math
2024_25,Monterey,Salinas Union High,High,15296.55,89.28729526339087,16974.703119330832,5001.530606574685,21170.84478891847,-25.1,-93.3,89.4,4.9,Low math
2024_25,San Bernardino,Victor Valley Union High,High,10859.03,86.47923875432527,16263.774020331464,4178.724987406794,22861.00016389042,-18.8,-94.8,84.2,8.9,Low math
2024_25,San Joaquin,New Hope Elementary,Elementary,168.61,85.36585365853658,14754.166419548072,3863.839629915189,22594.959249676587,-17.7,-86.8,NA,NA,Low math
2024_25,Merced,Le Grand Union High,High,496.87,89.28571428571429,17590.76015859279,4844.448246020086,25108.471381369676,-17.6,-91.5,97.2,2.1,Low math
2024_25,Madera,Chowchilla Union High,High,1062.39,82.61665141811528,17078.47494799462,4436.694622502095,19925.46565685528,-14.8,-118.2,93.4,5.2,Low math
2024_25,Los Angeles,Centinela Valley Union High,High,5393.6,82.8119180633147,16849.842035004447,4237.583803025808,21794.50242296324,-14.2,-121.3,58.5,38.6,Low math
2024_25,Monterey,South Monterey County Joint Union High,High,2552.79,85.52138034508627,17242.920490913864,4643.218987852507,18539.387071628604,0.7,-121,88.9,7.9,Low math
2024_25,Kern,Wasco Union High,High,1760.22,89.11335578002245,17564.25503630228,4909.053413777823,20245.306769938943,2.2,-86.5,93.3,4.5,Low math
