school_year,n_districts,total_ada,mean_lcff_per_ada,median_lcff_per_ada,weighted_lcff_per_ada,mean_supp_conc_per_ada,median_supp_conc_per_ada,weighted_supp_conc_per_ada,mean_spending_per_ada,median_spending_per_ada,weighted_spending_per_ada
2019_20,936,5268878.599999999,10858.566699578247,10546.454427101962,10572.35855519617,1574.1389925378696,1403.764006078685,1697.0726211076494,14743.711265808515,12877.886344538694,13244.45807312861
2020_21,936,5230272.159999999,10887.935705961672,10529.470709726877,10569.497775236234,1561.5038128580902,1361.34069190907,1688.9704322767022,15229.409869864716,13365.320923568735,13812.683743502372
2021_22,938,5241603.469999991,11478.75737931957,11146.14205337204,11287.25853235901,1800.167262178857,1512.4211160271034,1969.0789602976238,18729.227966432976,16353.706790555989,17056.912132412883
2022_23,938,5147014.350000001,13147.08867659426,12695.66127846991,12842.397263182294,2047.0701046703612,1682.5978947280546,2266.511928609641,20559.234881305605,18074.832041998492,18615.28045530513
2023_24,938,4991108.020000002,14307.631237599378,13850.25112238784,13980.978664132372,2261.248567618767,1966.9842426981852,2516.1919366754146,22568.926703270536,19727.58584562989,20300.33531075832
2024_25,937,4854380.119999993,14551.902823834494,14102.730093071355,14232.616265534662,2335.558641974222,2059.6357411482218,2617.6791017346245,23647.502360358587,20488.382377191552,21195.888001846117
