Type,N,Avg High-Needs %,Avg Funding 14-15,Avg Funding 15-16,Avg $ Change
Charter,869,62.4%,"$8,466","$10,296","$1,830"
Non-Charter,1129,62.3%,"$8,971","$10,804","$1,833"
