name,pct_high_needs,funding_14_15,funding_est_15_16,is_charter
Animo Jefferson Charter Middle,99,8742,10821,TRUE
Animo Leadership High,93,10602,13335,FALSE
Animo Pat Brown,98,10375,12975,FALSE
Animo Ralph Bunche High,99,10432,12984,FALSE
Animo South Los Angeles Charter,92,10272,12865,TRUE
Animo Venice Charter High,86,10203,12739,TRUE
Animo Watts College Preparatory Academy,97,10385,12948,TRUE
Animo Westside Charter Middle,76,8176,10140,TRUE
Antelope Elementary,57,8391,9533,FALSE
Antelope Valley Learning Academy,87,10005,12687,TRUE
Antelope Valley Union High,65,9381,11477,FALSE
Antelope View Charter,45,8827,10558,TRUE
Antioch Charter Academy,28,7398,8761,TRUE
Antioch Charter Academy II,40,7526,8959,TRUE
Antioch Unified,70,8627,10710,FALSE
APEX Academy,97,10032,12426,TRUE
Apple Academy Charter Public,79,8602,10685,TRUE
Apple Valley Unified,67,8514,10528,FALSE
Aptitud Community Academy at Goss,97,9457,11336,TRUE
Ararat Charter,87,8802,10990,TRUE
Arcadia Unified,29,7717,9362,FALSE
Arcata Elementary,61,8119,9780,FALSE
"Architecture, Construction & Engineering Charter High (ACE)",48,8803,10621,TRUE
Arcohe Union Elementary,58,8183,9783,FALSE
Arena Union Elementary,75,9027,10760,FALSE
ARISE High,96,10244,12665,FALSE
Armona Union Elementary,94,9200,11583,FALSE
Aromas/San Juan Unified,66,9026,10875,FALSE
Arroyo Paseo Charter High,87,9633,11784,TRUE
Arroyo Vista Charter,30,7375,8772,TRUE
Arts in Action Community Charter,91,8947,11184,TRUE
Arundel Elementary,16,7226,8756,FALSE
Arvin Union,97,9307,11681,FALSE
ASA Charter,85,9389,11572,TRUE
ASCEND,96,8767,10824,FALSE
Aspire Alexander Twilight College Preparatory Academy,78,7912,9676,TRUE
Aspire Alexander Twilight Secondary Academy,78,8041,9739,TRUE
Aspire Antonio Maria Lugo Academy,96,8999,11055,TRUE
Aspire APEX Academy,76,8426,10504,TRUE
Aspire Benjamin Holt College Preparatory Academy,36,7869,9475,TRUE
Aspire Berkley Maynard Academy,84,8637,10633,TRUE
Aspire California College Preparatory Academy,75,9005,11139,TRUE
Aspire Capitol Heights Academy,88,8551,10506,TRUE
Aspire Centennial College Preparatory Academy,97,9194,10779,TRUE
Aspire College Academy,97,9177,11076,TRUE
