AcademicYear	AggregateLevel	CountyCode	DistrictCode	SchoolCode	CountyName	DistrictName	SchoolName	Charter	ReportingCategory	CumulativeEnrollment
2019-20	C	01			Alameda			All	GF	113224
2019-20	C	01			Alameda			All	GM	120733
2019-20	C	01			Alameda			All	GX	14
2019-20	C	01			Alameda			All	RA	62265
2019-20	C	01			Alameda			All	RB	22059
2019-20	C	01			Alameda			All	RD	2354
2019-20	C	01			Alameda			All	RF	10546
2019-20	C	01			Alameda			All	RH	79888
2019-20	C	01			Alameda			All	RI	574
2019-20	C	01			Alameda			All	RP	2369
2019-20	C	01			Alameda			All	RT	14051
2019-20	C	01			Alameda			All	RW	39865
2019-20	C	01			Alameda			All	SD	28184
2019-20	C	01			Alameda			All	SE	48431
2019-20	C	01			Alameda			All	SF	803
2019-20	C	01			Alameda			All	SH	3836
2019-20	C	01			Alameda			All	SM	1008
2019-20	C	01			Alameda			All	SS	104400
2019-20	C	01			Alameda			All	TA	233971
2019-20	C	01			Alameda			No 	GF	101644
2019-20	C	01			Alameda			No 	GM	109062
2019-20	C	01			Alameda			No 	GX	11
2019-20	C	01			Alameda			No 	RA	59522
2019-20	C	01			Alameda			No 	RB	18126
2019-20	C	01			Alameda			No 	RD	2071
2019-20	C	01			Alameda			No 	RF	10090
2019-20	C	01			Alameda			No 	RH	67589
2019-20	C	01			Alameda			No 	RI	514
2019-20	C	01			Alameda			No 	RP	2174
2019-20	C	01			Alameda			No 	RT	12895
2019-20	C	01			Alameda			No 	RW	37736
2019-20	C	01			Alameda			No 	SD	25717
2019-20	C	01			Alameda			No 	SE	42495
2019-20	C	01			Alameda			No 	SF	711
2019-20	C	01			Alameda			No 	SH	3561
2019-20	C	01			Alameda			No 	SM	999
2019-20	C	01			Alameda			No 	SS	88083
2019-20	C	01			Alameda			No 	TA	210717
2019-20	C	01			Alameda			Yes	GF	12094
2019-20	C	01			Alameda			Yes	GM	12218
2019-20	C	01			Alameda			Yes	GX	*
2019-20	C	01			Alameda			Yes	RA	2833
2019-20	C	01			Alameda			Yes	RB	4181
2019-20	C	01			Alameda			Yes	RD	299
2019-20	C	01			Alameda			Yes	RF	469
2019-20	C	01			Alameda			Yes	RH	12838
2019-20	C	01			Alameda			Yes	RI	69
2019-20	C	01			Alameda			Yes	RP	203
2019-20	C	01			Alameda			Yes	RT	1197
2019-20	C	01			Alameda			Yes	RW	2226
2019-20	C	01			Alameda			Yes	SD	2630
