AcademicYear	AggregateLevel	CountyCode	DistrictCode	SchoolCode	CountyName	DistrictName	SchoolName	Charter	ReportingCategory	CumulativeEnrollment
2020-21	C	01			Alameda			All	GF	110211
2020-21	C	01			Alameda			All	GM	117612
2020-21	C	01			Alameda			All	GX	82
2020-21	C	01			Alameda			All	RA	62638
2020-21	C	01			Alameda			All	RB	20475
2020-21	C	01			Alameda			All	RD	2742
2020-21	C	01			Alameda			All	RF	10066
2020-21	C	01			Alameda			All	RH	77591
2020-21	C	01			Alameda			All	RI	589
2020-21	C	01			Alameda			All	RP	2191
2020-21	C	01			Alameda			All	RT	14249
2020-21	C	01			Alameda			All	RW	37364
2020-21	C	01			Alameda			All	SD	28090
2020-21	C	01			Alameda			All	SE	45857
2020-21	C	01			Alameda			All	SF	836
2020-21	C	01			Alameda			All	SH	3363
2020-21	C	01			Alameda			All	SM	904
2020-21	C	01			Alameda			All	SS	98458
2020-21	C	01			Alameda			All	TA	227905
2020-21	C	01			Alameda			No 	GF	98585
2020-21	C	01			Alameda			No 	GM	106041
2020-21	C	01			Alameda			No 	GX	67
2020-21	C	01			Alameda			No 	RA	59825
2020-21	C	01			Alameda			No 	RB	16602
2020-21	C	01			Alameda			No 	RD	2345
2020-21	C	01			Alameda			No 	RF	9647
2020-21	C	01			Alameda			No 	RH	65306
2020-21	C	01			Alameda			No 	RI	539
2020-21	C	01			Alameda			No 	RP	2003
2020-21	C	01			Alameda			No 	RT	13087
2020-21	C	01			Alameda			No 	RW	35339
2020-21	C	01			Alameda			No 	SD	25485
2020-21	C	01			Alameda			No 	SE	39710
2020-21	C	01			Alameda			No 	SF	751
2020-21	C	01			Alameda			No 	SH	3111
2020-21	C	01			Alameda			No 	SM	899
2020-21	C	01			Alameda			No 	SS	82413
2020-21	C	01			Alameda			No 	TA	204693
2020-21	C	01			Alameda			Yes	GF	11859
2020-21	C	01			Alameda			Yes	GM	11819
2020-21	C	01			Alameda			Yes	GX	15
2020-21	C	01			Alameda			Yes	RA	2875
2020-21	C	01			Alameda			Yes	RB	3984
