city_name,lon,lat,total_population,median_rent,median_income,median_home_value,rent_burden_pct,rent_to_income,col_tier,vs_state
Florence-Graham,-118.24465818559497,33.968170732390384,61723,1475,61216,499100,36.2,0.2891400940930476,Lower COL,Lower than state median
Palm Springs,-116.5380063682446,33.80153413187994,44998,1473,71979,567300,37.4,0.24557162505730837,Lower COL,Lower than state median
South Gate,-118.1925851519457,33.94474527212856,91836,1471,71315,608500,32.8,0.247521559279254,Lower COL,Lower than state median
Oakdale,-120.84682330495207,37.76177702142455,23155,1471,86478,432800,32,0.20412127940054117,Lower COL,Lower than state median
Quartz Hill,-118.21633134372613,34.652689214147486,10968,1469,104017,455500,22.8,0.1694722977974754,Lower COL,Lower than state median
Maywood,-118.18776533073702,33.988553275524104,24593,1467,61655,595000,32.9,0.2855242883788825,Lower COL,Lower than state median
South Lake Tahoe,-119.98102426162036,38.92887565308782,21319,1467,73940,630200,32.2,0.23808493373005138,Lower COL,Lower than state median
Lennox,-118.35858699204795,33.93797368562539,20289,1455,60307,677600,35.1,0.28951862967814684,Lower COL,Lower than state median
Big Bear City,-116.79029678771562,34.25362804777662,12493,1454,72457,427700,38.9,0.24080489117683593,Lower COL,Lower than state median
Chico,-121.81627629855767,39.75745999767106,102032,1442,67929,455300,36.8,0.25473656317625754,Lower COL,Lower than state median
McKinleyville,-124.08568390701045,40.9487921646023,17152,1441,66096,414200,37.7,0.26161946259985475,Lower COL,Lower than state median
Huntington Park,-118.2167144030285,33.980035312374326,53658,1440,56952,557600,33.8,0.3034134007585335,Lower COL,Lower than state median
San Bernardino,-117.2943126111867,34.14157721870671,221774,1433,63988,384900,37.7,0.2687378883540664,Lower COL,Lower than state median
Auburn,-121.07769687362473,38.89495283669285,13758,1432,77760,642400,36.8,0.22098765432098766,Lower COL,Lower than state median
Hemet,-116.99684460071748,33.73408065329868,90646,1432,53623,314200,37.4,0.32045950431717735,Lower COL,Lower than state median
East Los Angeles,-118.16915514716696,34.03263999129199,114617,1431,68378,613600,29.9,0.25113340548129515,Lower COL,Lower than state median
Walnut Park,-118.22192355828673,33.96828859386086,15446,1430,79205,570500,38.3,0.21665298907897226,Lower COL,Lower than state median
Commerce,-118.15189146647089,33.99629282900147,12072,1420,71768,583200,36.5,0.23743172444543528,Lower COL,Lower than state median
Grass Valley,-121.0527483707121,39.22015294483713,14126,1417,48850,458400,39.7,0.348085977482088,Lower COL,Lower than state median
Westmont,-118.30183208843663,33.941680341520595,34291,1413,47899,617300,43.5,0.3539948641934069,Lower COL,Lower than state median
Galt,-121.29938165244016,38.26933055758052,25665,1413,86327,465700,33,0.19641595329387096,Lower COL,Lower than state median
Parkway,-121.45203163839606,38.49930494548529,15880,1402,64380,355400,31.8,0.2613233923578751,Lower COL,Lower than state median
Visalia,-119.32677344569439,36.32758800730967,142649,1397,79952,340600,29.4,0.20967580548328996,Lower COL,Lower than state median
Imperial,-115.57204049581047,32.83883167583777,20943,1396,83214,344700,30.6,0.2013122791837912,Lower COL,Lower than state median
Lemoore,-119.79824107649966,36.29432243880108,27023,1394,82189,319200,27.8,0.20353088612831402,Lower COL,Lower than state median
Indio,-116.23467879834278,33.73461930130177,90669,1392,78709,424700,32.4,0.21222477734439518,Lower COL,Lower than state median
Yuba City,-121.63946155239084,39.13229817523288,69545,1391,72322,405900,32.3,0.23080113934902244,Lower COL,Lower than state median
Patterson,-121.15364100611238,37.475806565460374,24306,1391,93542,427400,28,0.17844390754954992,Lower COL,Lower than state median
Adelanto,-117.43969437338507,34.58137864440071,38010,1389,68419,318300,36,0.24361653926540874,Lower COL,Lower than state median
Lemon Hill,-121.45725753620943,38.517223436357064,14942,1376,49441,328000,35.3,0.3339738273902227,Lower COL,Lower than state median
Apple Valley,-117.2109119050989,34.535171182715345,75478,1373,65926,377300,37.1,0.24991657312744595,Lower COL,Lower than state median
Bakersfield,-119.03591517719697,35.35286014238155,408366,1371,77397,347300,32.3,0.21256637854180394,Lower COL,Lower than state median
Tulare,-119.33995248763432,36.2001923938459,69984,1354,69517,301200,33.3,0.23372700202828087,Lower COL,Lower than state median
Lake Los Angeles,-117.83390649935502,34.60966497982179,13479,1351,60999,284800,38.3,0.2657748487680126,Lower COL,Lower than state median
Yucca Valley,-116.42156337066083,34.123348433920874,21744,1341,55302,321300,36.5,0.29098405120972115,Lower COL,Lower than state median
Desert Hot Springs,-116.5428630575597,33.95488532126055,32786,1339,50349,309300,39.9,0.31913245546088304,Lower COL,Lower than state median
Ukiah,-123.21060985559214,39.14638751028167,16419,1330,67122,448100,33.1,0.23777598998837937,Lower COL,Lower than state median
Fresno,-119.79392030697929,36.782976093827415,543615,1324,66804,348500,34.2,0.2378300700556853,Lower COL,Lower than state median
Redding,-122.36556426959625,40.5702383307126,93268,1323,69443,363800,30.6,0.22861915527842977,Lower COL,Lower than state median
Garden Acres,-121.22959429182549,37.963698123930655,10417,1304,62895,318400,29,0.24879561173384213,Lower COL,Lower than state median
Merced,-120.47788428641049,37.30569193183851,89766,1293,59938,347700,32,0.2588674964129601,Lower COL,Lower than state median
Arcata,-124.0752641474485,40.86165633691476,18578,1287,48731,466600,38.6,0.31692351890993414,Lower COL,Lower than state median
Livingston,-120.72481298361969,37.387487053789094,14450,1281,76158,339800,25.6,0.2018435358071378,Lower COL,Lower than state median
Tehachapi,-118.4744263420982,35.12760370765423,12366,1278,67785,344700,30.2,0.22624474441248063,Lower COL,Lower than state median
Twentynine Palms,-116.06590108124394,34.14783618515258,28738,1271,56000,238400,30,0.27235714285714285,Lower COL,Lower than state median
Shasta Lake,-122.37749800970062,40.67904010410608,10334,1264,61319,273000,29.7,0.24736215528628971,Lower COL,Lower than state median
Delhi,-120.77586464403383,37.43059048144004,10525,1262,66306,338800,43.7,0.22839562030585467,Lower COL,Lower than state median
Golden Hills,-118.49678934302057,35.140928045482966,10445,1248,94654,376300,23.3,0.15821835315992985,Lower COL,Lower than state median
Rosedale,-119.20575916699465,35.388645810004284,19325,1240,134697,594000,33.5,0.11047016637341589,Lower COL,Lower than state median
Madera,-120.0861627554752,36.96575111489041,67133,1237,63619,335900,34,0.2333265219509895,Lower COL,Lower than state median
Rosamond,-118.21547260965667,34.86575956460124,20835,1230,77773,330100,36.2,0.18978308667532434,Lower COL,Lower than state median
Placerville,-120.79782949885396,38.73080820646622,10730,1229,70602,450600,34.3,0.20888926659301435,Lower COL,Lower than state median
Newman,-121.02149189989876,37.3161442591764,12299,1227,75344,381900,31,0.19542365682735188,Lower COL,Lower than state median
Marysville,-121.58359294513467,39.15174015313964,12703,1223,58150,282700,31.3,0.2523817712811694,Lower COL,Lower than state median
Oildale,-119.03056714290709,35.42930057145086,34971,1220,49622,225000,35.6,0.29503043005118695,Lower COL,Lower than state median
Atwater,-120.59596119767856,37.35296284656519,32013,1219,63945,340600,31.6,0.2287590898428337,Lower COL,Lower than state median
East Niles,-118.92246790234124,35.368287451185395,28586,1219,51250,228100,41.9,0.2854243902439025,Lower COL,Lower than state median
Olivehurst,-121.55661966322128,39.079471112853405,19071,1218,80477,337300,26.6,0.1816171079935882,Lower COL,Lower than state median
Exeter,-119.14592103598494,36.29414289722641,10280,1207,71198,273500,26.9,0.20343268069327788,Lower COL,Lower than state median
Chowchilla,-120.23490780922005,37.109509814599754,18876,1204,63308,331500,33.8,0.2282176028306059,Lower COL,Lower than state median
Selma,-119.61385756631593,36.57174231520881,24586,1202,55839,288700,30.3,0.2583140815559018,Lower COL,Lower than state median
Reedley,-119.44699717140081,36.59904403685232,25446,1198,62923,311700,32.5,0.22846971695564422,Lower COL,Lower than state median
Hillcrest,-118.9578432964523,35.37898097752231,10203,1197,44954,250300,33.3,0.31952662721893493,Lower COL,Lower than state median
Hanford,-119.65461530642811,36.32773875654779,59389,1196,73544,323600,29.7,0.19514848254106384,Lower COL,Lower than state median
Kerman,-120.06249234102609,36.725025011834504,16492,1181,57556,331500,31.1,0.24622975884356108,Lower COL,Lower than state median
Ridgecrest,-117.66213083156568,35.630801261476705,28138,1178,88107,235800,25,0.16044128162348054,Lower COL,Lower than state median
Valley Center,-117.01576438920864,33.23300072237817,10303,1163,116620,809300,24.5,0.11967072543303035,Lower COL,Lower than state median
Clearlake,-122.63298127592348,38.95891634916101,16604,1162,41580,204500,40.9,0.33535353535353535,Lower COL,Lower than state median
Potomac Park,-118.96496596345379,35.36357091053362,10634,1162,45617,201200,35.8,0.3056755157068637,Lower COL,Lower than state median
Eureka,-124.15445516875619,40.797108439530106,26302,1157,60253,375800,34.5,0.23042836041358938,Lower COL,Lower than state median
Dinuba,-119.39881306144844,36.54511110733274,25201,1146,59048,267300,35,0.23289527164340873,Lower COL,Lower than state median
Shafter,-119.20130576296668,35.47941594261067,20618,1140,67989,306800,30,0.20120901910603187,Lower COL,Lower than state median
Sanger,-119.55749909057663,36.69897737307205,26515,1131,74428,346000,34.5,0.18235072822056217,Lower COL,Lower than state median
Fortuna,-124.14197884739322,40.586174324276776,12413,1126,61603,353200,35.3,0.21933996720938917,Lower COL,Lower than state median
Kingsburg,-119.56018237981375,36.524440178907795,12589,1117,82562,356900,28.6,0.16235071824810446,Lower COL,Lower than state median
Coachella,-116.14312199308475,33.69038338164469,42594,1115,67558,341300,31.6,0.1980520441694544,Lower COL,Lower than state median
Porterville,-119.03394612322073,36.06452971809699,62765,1111,59012,273600,34.8,0.22592015183352537,Lower COL,Lower than state median
Delano,-119.26356231436796,35.76617059663722,50835,1111,61817,270300,31.4,0.21566882896290662,Lower COL,Lower than state median
Winton,-120.61730870213128,37.38541954885453,11429,1099,58884,296800,30.2,0.2239657631954351,Lower COL,Lower than state median
Arvin,-118.83055725198803,35.19436911754681,19478,1089,49984,247800,34.9,0.261443661971831,Lower COL,Lower than state median
Linda,-121.54215368751464,39.12416162115924,23215,1083,69161,337700,30.5,0.18790937088821733,Lower COL,Lower than state median
Oroville,-121.56355018564894,39.49993970002152,19855,1074,51893,280600,34,0.2483571965390322,Lower COL,Lower than state median
Red Bluff,-122.24127116663732,40.17350653309783,14592,1068,50216,271100,32.6,0.2552174605703361,Lower COL,Lower than state median
McFarland,-119.23067372131626,35.667252222986676,14138,1067,51801,245500,34.9,0.24717669543059015,Lower COL,Lower than state median
Barstow,-117.04715662745046,34.86608858791133,25198,1065,51811,222600,31.9,0.24666576595703618,Lower COL,Lower than state median
Avenal,-120.11621271743577,36.03107574919581,13441,1060,52986,224800,31,0.2400634129770128,Lower COL,Lower than state median
Parlier,-119.54353520039017,36.60901124741558,14545,1059,50910,236100,32.5,0.24961697112551562,Lower COL,Lower than state median
Calexico,-115.49483564826943,32.684799539016744,38476,1049,50021,281700,35.6,0.2516543051918194,Lower COL,Lower than state median
Farmersville,-119.20867070944496,36.30474311184408,10336,1043,57832,237700,32,0.2164199751002905,Lower COL,Lower than state median
Coalinga,-120.3241801749654,36.1420499628944,17352,1021,78014,254600,21.8,0.15704873484246418,Lower COL,Lower than state median
California City,-117.87221867345117,35.157811994329606,14821,1016,55271,239600,39.4,0.22058584067594217,Lower COL,Lower than state median
Corcoran,-119.56128560265365,36.084047035433684,22626,1012,55909,220500,32.7,0.21721010928473056,Lower COL,Lower than state median
East Bakersfield,-118.97431553376981,35.38321926431758,10377,1005,36039,202400,35.7,0.3346374760675934,Lower COL,Lower than state median
El Centro,-115.55964027963107,32.786054342335774,44186,992,56093,291100,30.4,0.21221899345729411,Lower COL,Lower than state median
Wasco,-119.3671368646655,35.59378211302486,26222,991,55521,251900,35,0.2141892256983844,Lower COL,Lower than state median
Anderson,-122.29500000157101,40.44966671313804,11282,985,50306,272000,34.6,0.23496203236194488,Lower COL,Lower than state median
Lamont,-118.9159526998208,35.26593125961582,13481,982,34436,210700,37,0.34220002323150195,Lower COL,Lower than state median
Brawley,-115.52861686733951,32.97840928880673,26934,954,60370,270100,28.6,0.18963061123074376,Lower COL,Lower than state median
Lindsay,-119.09312936264321,36.20910157915639,12572,920,50563,268400,32.8,0.21834147499159465,Lower COL,Lower than state median
Susanville,-120.61316670843034,40.42063698426664,14992,905,57607,234000,24.7,0.18851875640113183,Lower COL,Lower than state median
Blythe,-114.61952070888974,33.621928894475616,17824,900,51984,203800,30.9,0.2077562326869806,Lower COL,Lower than state median
Mendota,-120.37756819206524,36.755482996077745,12554,874,46458,250400,29.6,0.22575229239312927,Lower COL,Lower than state median
